Date,Load_power,Wind_power,Solar_power,DHI,DNI,GHI,Dew point,Solar zenith angle,Wind speed,Relative humidity,Temperature,SLP,PRCP,FRSHTT,Month_sin,Month_cos,Weekday_sin,Weekday_cos
2019-01-01,0.88,0.19,0.2,21.29,340.71,154.33,-11.51,106.3,3.69,31.87,4.72,1020.0,0.0,0.0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
2019-01-02,1.0,0.03,0.19,21.4,329.44,150.9,-10.22,106.24,1.98,31.34,7.0,1024.3,0.0,0.0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
2019-01-03,1.0,0.01,0.18,20.53,337.7,153.97,-7.85,106.18,1.22,33.25,8.84,1026.0,0.0,0.0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419
2019-01-04,0.98,0.01,0.18,22.48,325.4,153.24,-5.09,106.11,1.49,34.72,11.02,1021.9,0.0,0.0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
2019-01-05,0.94,0.04,0.03,37.7,2.42,38.74,4.38,106.04,2.22,68.53,10.66,1016.7,0.0,0.0,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
2019-01-06,0.85,0.03,0.14,38.34,224.11,121.65,6.14,105.96,1.88,79.16,10.11,1016.2,0.05,1.0,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2019-01-07,1.03,0.01,0.11,37.4,143.89,104.82,7.56,105.87,1.27,81.88,10.71,1021.8,0.0,0.0,0.49999999999999994,0.8660254037844387,0.0,1.0
2019-01-08,1.01,0.02,0.15,41.13,206.31,127.32,6.03,105.79,1.88,66.07,12.96,1024.6,0.0,0.0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
2019-01-09,1.0,0.01,0.17,26.98,301.14,147.53,7.84,105.69,1.09,72.17,13.54,1021.7,0.0,0.0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
2019-01-10,0.99,0.01,0.18,25.08,306.06,152.0,8.14,105.59,1.01,74.34,13.49,1020.1,0.0,0.0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419
2019-01-11,0.97,0.01,0.11,58.02,111.09,105.26,5.92,105.49,1.45,66.77,12.44,1020.2,0.0,0.0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
2019-01-12,0.86,0.01,0.06,52.29,31.66,63.0,5.15,105.38,1.35,72.46,10.29,1017.7,0.11,1.0,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
